Date,Close,Change,Pct_Change,Volume,Org_Volume,Foreign_Volume,Foreign_Count,Foreign_Pct
2015-11-06,118000,3000,-2.48,180636,-14141,-10220,35226429,38.10
2015-11-05,121000,0,0.00,237367,45556,-47134,35236549,38.11
2015-11-04,121000,3500,2.98,417041,62693,33711,35280781,38.16
2015-11-03,117500,2500,2.17,1174944,-39427,170906,35240466,38.11
2015-11-02,115000,3500,-2.95,300119,-34778,-16636,35059560,37.92
2015-11-01,115000,3500,-2.95,300119,-34778,-16636,35059560,37.92
2015-10-31,115000,3500,-2.95,300119,-34778,-16636,35059560,37.92
2015-10-30,118500,500,0.42,497680,184697,-61687,35076196,37.93
2015-10-29,118000,3500,3.06,688642,195174,-46465,35137883,38.00
2015-10-28,114500,500,-0.43,412483,68346,-73202,35184348,38.05
2015-10-27,115000,0,0.00,294834,2532,-2342,35257550,38.13
2015-10-26,115000,3000,-2.54,562737,-33880,-144058,35261162,38.13
2015-10-25,115000,3000,-2.54,562737,-33880,-144058,35261162,38.13
2015-10-24,115000,3000,-2.54,562737,-33880,-144058,35261162,38.13
2015-10-23,118000,9500,8.76,912964,170965,-31003,35406744,38.29
2015-10-22,108500,3500,-3.12,295245,-33401,-54637,35437747,38.33
2015-10-21,112000,2500,2.28,293796,9007,73512,35485939,38.38
2015-10-20,109500,3500,-3.10,386392,-124819,20290,35412427,38.30
2015-10-19,113000,1500,1.35,415018,-1991,65597,35393407,38.28
2015-10-18,113000,1500,1.35,415018,-1991,65597,35393407,38.28
2015-10-17,113000,1500,1.35,415018,-1991,65597,35393407,38.28
2015-10-16,111500,2000,-1.76,259595,-10471,-24230,35327810,38.21
2015-10-15,113500,4500,4.13,366161,49808,44117,35353310,38.23
2015-10-14,109000,3500,-3.11,266724,-43749,16205,35309193,38.19
2015-10-13,112500,1500,-1.32,324043,-22838,27164,35292988,38.17
2015-10-12,114000,0,0.00,356834,-24045,59903,35265824,38.14
2015-10-11,114000,0,0.00,356834,-24045,59903,35265824,38.14
2015-10-10,114000,0,0.00,356834,-24045,59903,35265824,38.14
2015-10-09,114000,0,0.00,356834,-24045,59903,35265824,38.14
2015-10-08,114000,0,0.00,328374,52626,14321,35205921,38.07
2015-10-07,114000,2000,1.79,550476,151650,6922,35193600,38.06
2015-10-06,112000,3500,3.23,623740,105007,159070,35186678,38.05
2015-10-05,108500,6000,5.85,854362,357605,-1204,35027608,37.88
2015-10-04,108500,6000,5.85,854362,357605,-1204,35027608,37.88
2015-10-03,108500,6000,5.85,854362,357605,-1204,35027608,37.88
2015-10-02,102500,1500,1.49,376543,125060,-29325,35028812,37.88
2015-10-01,101000,3000,3.06,590749,84947,39320,35058137,37.91
2015-09-30,98000,2000,2.08,262191,-2110,34150,35020087,37.87
2015-09-29,98000,2000,2.08,262191,-2110,34150,35020087,37.87
2015-09-28,98000,2000,2.08,262191,-2110,34150,35020087,37.87
2015-09-27,98000,2000,2.08,262191,-2110,34150,35020087,37.87
2015-09-26,98000,2000,2.08,262191,-2110,34150,35020087,37.87
2015-09-25,96000,300,-0.31,176573,-14437,-5583,34992844,37.84
2015-09-24,96300,400,-0.41,309600,-26508,-40839,34998680,37.85
2015-09-23,96700,1500,-1.53,205880,-2219,-900,35039519,37.89
2015-09-22,98200,1000,1.03,271695,-45583,-10602,35042036,37.90
2015-09-21,97200,2800,-2.80,277131,-35065,-58943,35051114,37.91
2015-09-20,97200,2800,-2.80,277131,-35065,-58943,35051114,37.91
2015-09-19,97200,2800,-2.80,277131,-35065,-58943,35051114,37.91
2015-09-18,100000,3000,-2.91,399648,33976,-142591,35110057,37.97
2015-09-17,103000,2500,2.49,547162,101743,-7296,35252648,38.13
2015-09-16,100500,2600,2.66,439413,83701,18941,35259944,38.13
2015-09-15,97900,200,0.20,152160,-8369,3243,35258543,38.13
2015-09-14,97700,200,0.21,227254,27072,-24461,35259110,38.13
2015-09-13,97700,200,0.21,227254,27072,-24461,35259110,38.13
2015-09-12,97700,200,0.21,227254,27072,-24461,35259110,38.13
2015-09-11,97500,2100,-2.11,221480,-4962,-53521,35285352,38.16
2015-09-10,99600,800,0.81,266290,34175,-6571,35344588,38.22
2015-09-09,98800,6000,6.47,404157,94530,38292,35352937,38.23
2015-09-08,92800,1700,-1.80,414851,-107980,11669,35318455,38.20
2015-09-07,94500,1700,-1.77,307819,-27423,-33867,35310374,38.19
2015-09-06,94500,1700,-1.77,307819,-27423,-33867,35310374,38.19
2015-09-05,94500,1700,-1.77,307819,-27423,-33867,35310374,38.19
2015-09-04,96200,1000,-1.03,222149,-37036,20012,35335003,38.21
2015-09-03,97200,2500,-2.51,273752,-37952,-64532,35310372,38.19
2015-09-02,99700,0,0.00,424858,-25459,37852,35365999,38.25
2015-09-01,99700,200,-0.20,300593,-46079,1801,35328401,38.21
2015-08-31,99900,600,-0.60,326152,34497,-3596,35326600,38.21
2015-08-30,99900,600,-0.60,326152,34497,-3596,35326600,38.21
2015-08-29,99900,600,-0.60,326152,34497,-3596,35326600,38.21
2015-08-28,100500,3500,3.61,533077,22227,-35770,35327656,38.21
2015-08-27,97000,1000,1.04,414758,-30073,58191,35376311,38.26
2015-08-26,96000,3600,3.90,440451,18048,6571,35318120,38.20
2015-08-25,92400,1400,1.54,405686,-58732,61209,35321709,38.20
2015-08-24,91000,3600,-3.81,535457,-77227,37938,35270788,38.14
2015-08-23,91000,3600,-3.81,535457,-77227,37938,35270788,38.14
2015-08-22,91000,3600,-3.81,535457,-77227,37938,35270788,38.14
2015-08-21,94600,400,-0.42,413973,46401,16330,35251798,38.12
2015-08-20,95000,1800,-1.86,358572,4235,44412,35241818,38.11
2015-08-19,96800,1700,1.79,277092,38577,30363,35198676,38.07
2015-08-18,95100,4000,-4.04,385603,-95069,15242,35169583,38.04
2015-08-17,99100,200,0.20,410885,-19925,34641,35154341,38.02
2015-08-16,99100,200,0.20,410885,-19925,34641,35154341,38.02
2015-08-15,99100,200,0.20,410885,-19925,34641,35154341,38.02
2015-08-14,99100,200,0.20,410885,-19925,34641,35154341,38.02
2015-08-13,98900,6100,6.57,766713,-30060,217401,35122235,37.98
